flaskbb/flaskbb/cli/main.py:381:12: blacklist, severity: MEDIUM, confidence: HIGH, Use of possibly insecure function - consider using safer ast.literal_eval.
flaskbb/flaskbb/cli/main.py:466:17: jinja2_autoescape_false, severity: HIGH, confidence: HIGH, By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.
flaskbb/flaskbb/utils/fields.py:85:24: blacklist, severity: MEDIUM, confidence: HIGH, Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.
flaskbb/flaskbb/utils/translations.py:13:0: blacklist, severity: LOW, confidence: HIGH, Consider possible security implications associated with the subprocess module.
flaskbb/flaskbb/utils/translations.py:85:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:85:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:87:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:87:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:104:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:104:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:106:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:106:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:117:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:117:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:135:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:135:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:138:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
flaskbb/flaskbb/utils/translations.py:138:4: subprocess_without_shell_equals_true, severity: LOW, confidence: HIGH, subprocess call - check for execution of untrusted input.
flaskbb/flaskbb/utils/translations.py:155:4: start_process_with_partial_path, severity: LOW, confidence: HIGH, Starting a process with a partial executable path
