flaskbb/flaskbb/configs/default.py:178:17: hardcoded_password_string, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'secret key'
flaskbb/flaskbb/configs/default.py:184:26: hardcoded_password_string, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'reallyhardtoguess'
flaskbb/flaskbb/configs/default.py:258:20: hardcoded_password_string, severity: LOW, confidence: MEDIUM, Possible hardcoded password: ''
flaskbb/flaskbb/core/tokens.py:70:21: hardcoded_password_string, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'reset_password'
flaskbb/flaskbb/utils/populate.py:273:15: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'test'
flaskbb/tests/fixtures/user.py:14:11: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'test'
flaskbb/tests/fixtures/user.py:25:11: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'test'
flaskbb/tests/fixtures/user.py:38:11: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'test'
flaskbb/tests/fixtures/user.py:48:11: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'test'
flaskbb/tests/fixtures/user.py:63:11: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'fred'
flaskbb/tests/fixtures/user.py:75:11: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'password'
flaskbb/tests/unit/auth/test_authentication.py:125:8: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'nope'
flaskbb/tests/unit/auth/test_authentication.py:150:8: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'fred'
flaskbb/tests/unit/auth/test_reauthentication.py:53:8: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'nope'
flaskbb/tests/unit/auth/test_reauthentication.py:82:8: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'fred'
flaskbb/tests/unit/auth/test_registration.py:28:11: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'Fred'
flaskbb/tests/unit/auth/test_validators.py:18:19: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'no'
flaskbb/tests/unit/auth/test_validators.py:33:19: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'no'
flaskbb/tests/unit/auth/test_validators.py:48:19: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'no'
flaskbb/tests/unit/auth/test_validators.py:62:19: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'fred'
flaskbb/tests/unit/auth/test_validators.py:79:19: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'fred'
flaskbb/tests/unit/user/test_controllers.py:119:15: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'password'
flaskbb/tests/unit/user/test_controllers.py:136:12: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'password'
flaskbb/tests/unit/user/test_controllers.py:140:15: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'password'
flaskbb/tests/unit/user/test_controllers.py:154:15: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'password'
flaskbb/tests/unit/user/test_controllers.py:172:15: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'password'
flaskbb/tests/unit/user/test_forms.py:94:19: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'old_password'
flaskbb/tests/unit/utils/test_populate.py:107:11: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'test'
flaskbb/tests/unit/utils/test_populate.py:116:4: hardcoded_password_funcarg, severity: LOW, confidence: MEDIUM, Possible hardcoded password: 'test'
