filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,line_range,more_info
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/cli/main.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,381,12,[381],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b307-eval
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/cli/main.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",466,17,"[466, 467]",https://bandit.readthedocs.io/en/1.7.4/plugins/b701_jinja2_autoescape_false.html
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/configs/default.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'secret key',178,17,"[178, 179, 180, 181, 182]",https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/configs/default.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'reallyhardtoguess',184,26,"[184, 185, 186, 187, 188]",https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/configs/default.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',258,20,[258],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/core/tokens.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'reset_password',70,21,[70],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/utils/fields.py,blacklist,B310,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/22.html,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,85,24,[85],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b310-urllib-urlopen
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/utils/populate.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'test',273,15,[273],https://bandit.readthedocs.io/en/1.7.4/plugins/b106_hardcoded_password_funcarg.html
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/utils/translations.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,13,0,"[13, 14]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_imports.html#b404-import-subprocess
/Users/rushanjiang/workspace/17-355-Final/flaskbb/flaskbb/utils/translations.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,85,4,"[85, 86]",https://bandit.readthedocs.io/en/1.7.4/plugins/b607_start_process_with_partial_path.html
